Varable Name	Source	Categories	description	period
bio01_Annual_Mean_Temperature	WorldClim	temperature	annual mean temperature 	1970-2000
bio10_Mean_Temperature_Warmest_Quarter	WorldClim	temperature	mean temperature of the warmest quarter 	1970-2000
bio11_Mean_Temperature_Coldest_Quarter	WorldClim	temperature	mean temperature of the coldest quarter 	1970-2000
bio12_Annual_Precipitation	WorldClim	precipitation	annual precipitation 	1970-2000
bio13_Precipitation_Wettest_Month	WorldClim	precipitation	precipitation of the wettest month 	1970-2000
bio14_Precipitation_Driest_Month	WorldClim	precipitation	precipitation of the driest month 	1970-2000
bio15_Precipitation_Seasonality	WorldClim	precipitation	precipitation seasonality 	1970-2000
bio16_Precipitation_Wettest_Quarter	WorldClim	precipitation	precipitation of the wettest quarter 	1970-2000
bio17_Precipitation_Driest_Quarter	WorldClim	precipitation	precipitation of the driest quarter 	1970-2000
bio18_Precipitation_Warmest_Quarter	WorldClim	precipitation	precipitation of the warmest quarter 	1970-2000
bio19_Precipitation_Coldest_Quarter	WorldClim	precipitation	precipitation of the coldest quarter 	1970-2000
bio02_Mean_Diurnal_Range	WorldClim	temperature	mean diurnal temperature range 	1970-2000
bio03_Isothermality	WorldClim	temperature	isothermality = bio2/bio7 	1970-2000
bio04_Temperature_Seasonality	WorldClim	temperature	temperature seasonality 	1970-2000
bio05_Max_Temperature_Warmest_Month	WorldClim	temperature	maximal temperature of the warmest month 	1970-2000
bio06_Min_Temperature_Coldest_Month	WorldClim	temperature	minimal temperature of the coldest month 	1970-2000
bio07_Temperature_Annual_Range	WorldClim	temperature	mean annual temperature range 	1970-2000
bio08_Mean_Temperature_Wettest_Quarter	WorldClim	temperature	mean temperature of the wettest quarter 	1970-2000
bio09_Mean_Temperature_Driest_Quarter	WorldClim	temperature	mean temperature of the driest quarter 	1970-2000
HYSOGs	"Ross et al., 2018"	combined	Global soil hydrolic groups	
eta	FAO-GAEZ	precipitation	evapotranspiration rate 	1960-1990
KG2	FAO-GAEZ	combined	Koeppen-Gerger 2 character classification 	1960-1990
KG3	FAO-GAEZ	combined	Koeppen-Gerger 3 character classification 	1960-1990
ld1	FAO-GAEZ	growth	average length of the longest component LGP (length of growing period) 	1960-1990
lgb	FAO-GAEZ	growth	Beginning date of the longest component LGP 	1960-1990
lgd	FAO-GAEZ	growth	Average total length of growing period 	1960-1990
lt3	FAO-GAEZ	temperature	Average number of days with avg. temperature > 10 ¡C 	1960-1990
mc2	FAO-GAEZ	temperature	Thermal Zones 	1960-1990
mcr	FAO-GAEZ	growth	multi-cropping class 	1960-1990
n00	FAO-GAEZ	temperature	average number of days with minimal temperature below 0¡C 	1960-1990
n10	FAO-GAEZ	temperature	average number of days with minimal temperature below 10¡C 	1960-1990
n15	FAO-GAEZ	temperature	average number of days with minimal temperature below 15¡C 	1960-1990
ndd	FAO-GAEZ	precipitation	number of dry days during growing period (temperature above 5¡C )	1960-1990
ndr	FAO-GAEZ	precipitation	Average number of rain days (precipitation > 1mm)	1960-1990
rfm	FAO-GAEZ	precipitation	Modified Fournier Index	1960-1990
ri2	FAO-GAEZ	precipitation	precipitation/ PET (Precipitation minus potential evapotranspiration) ratio in days above 5¡C	1960-1990
rid	FAO-GAEZ	precipitation	annual P/PET ratio	1960-1990
riS	FAO-GAEZ	precipitation	P/PET ratio in Summer (April-September in Northern hemisphere)	1960-1990
riW	FAO-GAEZ	precipitation	P/PET ratio in WInter (October-March in Northern hemisphere)	1960-1990
wde	FAO-GAEZ	precipitation	Evapotranspiration deficit	1960-1990
x35	FAO-GAEZ	temperature	average number of days with maximal temperature above 35¡C 	1960-1990
x45	FAO-GAEZ	temperature	average number of days with maximal temperature above 45¡C 	1960-1990
SBIO1_5	"Lembrechts et al., 2022"	soil_temperature	annual mean soil temperature at 0-5cm	
SBIO1_15	"Lembrechts et al., 2022"	soil_temperature	annual mean soil temperature at 5-15cm	
SBIO10_5	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the warmest quarter at 0-5cm	
SBIO10_15	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the warmest quarter at 5-15cm	
SBIO11_5	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the coldest quarter at 0-5cm	
SBIO11_15	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the coldest quarter at 5-15cm	
SBIO2_5	"Lembrechts et al., 2022"	soil_temperature	mean diurnal range of soil temperature at 0-5cm	
SBIO2_15	"Lembrechts et al., 2022"	soil_temperature	mean diurnal range of soil temperature at 5-15cm	
SBIO3_5	"Lembrechts et al., 2022"	soil_temperature	soil isothermality at 0-5cm	
SBIO3_15	"Lembrechts et al., 2022"	soil_temperature	soil isothermality at 5-15cm	
SBIO4_5	"Lembrechts et al., 2022"	soil_temperature	soil temperature seasonality at 0-5cm	
SBIO4_15	"Lembrechts et al., 2022"	soil_temperature	soil temperature seasonality at 5-15cm	
SBIO5_5	"Lembrechts et al., 2022"	soil_temperature	maximal soil temperature of the warmest month at 0-5cm	
SBIO5_15	"Lembrechts et al., 2022"	soil_temperature	maximal soil temperature of the warmest month at 5-15cm	
SBIO6_5	"Lembrechts et al., 2022"	soil_temperature	minimal soil temperature of the coldest month at 0-5cm	
SBIO6_15	"Lembrechts et al., 2022"	soil_temperature	minimal soil temperature of the coldest month at 5-15cm	
SBIO7_5	"Lembrechts et al., 2022"	soil_temperature	mean annual soil temperature range at 0-5cm	
SBIO7_15	"Lembrechts et al., 2022"	soil_temperature	mean annual soil temperature range at 5-15cm	
SBIO8_5	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the wettest quarter at 0-5cm	
SBIO8_15	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the wettest quarter at 5-15cm	
SBIO9_5	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the driest quarter at 0-5cm	
SBIO9_15	"Lembrechts et al., 2022"	soil_temperature	mean soil temperature of the driest quarter at 5-15cm	
BD1_GSDE_5	GSDE	soil_feature	soil bulk density at 0-4.5cm	
BS1_GSDE_5	GSDE	soil_feature	soil base saturation at 0-4.5cm	
CACO31_GSDE_5	GSDE	soil_feature	soil CaCO3 content at 0-4.5cm	
