tracker_sample_name	tracker_organism	alternative_names	ecotype	run_id	file	total_reads	gb_num	frac_mapped	percent_dup	unclass	non_poaceae	bacteria	homo_s	tribe_qc	genus_qc	species	matched_gene_and_read_counts	tabasco_complete	tabasco_duplicated	tabasco_fraged	tabasco_missing
AT20TS1MCRTL001	Rottboellia campestris	Coelorachis cylindrica (Mnesithea)	Kellogg 1258	1	MCRTL001_CKDL200164854-1a-AK5140-AK242_HMGJWDSXY_L4	272268296	40.8	0.366	0.0	51.04	4.99	0.45	1.42	Andropogoneae	Mnesithea;Eremochloa;Saccharum	helferi;ophiuroides;arundinaceum;eriopoda	NC_035036(253);NC_036716(236);NC_030777(214);NC_035023(214)	5325	107	156	4
AT20TS1MCRTL013	Hyperthelia dissoluta		Kellogg 1137	1	MCRTL013_CKDL200164854-1a-AK5395-AK5927_HMGJWDSXY_L4	154100842	23.1	0.433	0.147	58.23	5.53	0.41	2.3	Andropogoneae	Hyparrhenia;Andropogon	diplandra;variabilis;subplumosa;greenwayi;gayanus	NC_035037(321);NC_040112(321);NC_030625(315);NC_040128(294);NC_040127(280)	3705	662	1220	5
AT20TS1MCRTL002	Tripsacum laxum		Kellogg MIA 34792	1	MCRTL002_CKDL200164854-1a-AK4939-AK6653_HMGJWDSXY_L4	206616665	31.0	0.212	0.16	17.84	2.06	0.21	0.94	Andropogoneae	Zea;Saccharum;Tripidium	perennis;luxurians;diploperennis;arundinaceum;ravennae	NC_030300(370);NC_030301(357);NC_030377(357);NC_030777(353);NC_042735(345)	2497	1603	1492	0
AT20TS1MCRTL014	Rottboellia rugosa	Coelorachis rugosa	Layton & Zhong 162	1	MCRTL014_CKDL200164854-1a-AK4937-AK6664_HMGJWDSXY_L4	237500144	35.6	0.385	0.161	49.96	5.74	0.91	1.94	Andropogoneae	Mnesithea;Eremochloa;Saccharum	helferi;ophiuroides;eriopoda;ciliaris;arundinaceum	NC_035036(227);NC_036716(214);NC_035023(199);NC_035028(194);NC_030777(191)	4905	96	585	6
AT20TS1MCRTL003	Euclasta condylotricha		Pasquet 1245	1	MCRTL003_CKDL200164854-1a-AK5159-AK6654_HMGJWDSXY_L4	271608628	40.7	0.513	0.18	49.3	4.56	0.32	1.32	Andropogoneae	Bothriochloa;Dichanthium;Capillipedium	alta;decipiens;annulatum;sericeum;venustum	NC_030621(361);NC_040131(355);NC_042145(334);NC_035018(319);NC_030622(318)	5428	78	80	6
AT20TS1MCRTL015	Eulaliopsis binata		Traiperm 567	1	MCRTL015_CKDL200164854-1a-AK5151-AK6665_HMGJWDSXY_L4	206938089	31.0	0.515	0.152	51.21	4.74	0.51	1.66	Andropogoneae	Eulaliopsis	binata	NC_035049(446)	4722	409	460	1
AT20TS1MCRTL004	Eremopogon foveolatus	Dichanthium foveolatum	Kellogg PI 302076	1	MCRTL004_CKDL200164854-1a-AK6501-AK6655_HMGJWDSXY_L4	235987122	35.4	0.507	0.172	52.08	4.54	0.42	1.67	Andropogoneae	Iseilema;Themeda;Schizachyrium;Bothriochloa	macratherum;villosa;arundinacea;scoparium;alta	NC_030611(255);NC_035021(233);NC_035014(229);NC_035032(221);NC_030621(216)	2721	1028	1837	6
AT20TS1MCRTL004	Eremopogon foveolatus	Dichanthium foveolatum	Kellogg PI 302076	2	AT20TS1MCRTL004_CKDL220009931-1a-AK6501-AK6655_HN37MDSX3_L2	437712642	65.7	0.497	0.186	51.92	4.46	0.41	1.62	Andropogoneae	Iseilema;Themeda;Bothriochloa;Schizachyrium	macratherum;villosa;alta;scoparium;arundinacea	NC_030611(266);NC_035021(240);NC_030621(236);NC_035032(235);NC_035014(234)	0	0	0	0
AT20TS1MCRTL016	Rottboellia tessellata	Coelorachis tessellata	Layton & Zhong 160	1	MCRTL016_CKDL200164854-1a-AK6347-AK6666_HMGJWDSXY_L4	243910378	36.6	0.428	0.153	47.22	4.44	0.44	1.45	Andropogoneae	Eremochloa;Mnesithea	ophiuroides;helferi;eriopoda;ciliaris	NC_036716(182);NC_035036(175);NC_035023(167);NC_035028(158)	5126	101	362	3
AT20TS1MCRTL005	Polytoca digitata		Traiperm et al. 520	1	MCRTL005_CKDL200164854-1a-AK6502-AK6656_HMGJWDSXY_L4	255889560	38.4	0.398	0.163	58.61	8.84	0.65	4.83	Andropogoneae	Polytoca	digitata	NC_035044(516)	4439	405	740	8
AT20TS1MCRTL017	Trachypogon spicatus		Pasquet 1109	1	MCRTL017_CKDL200164854-1a-AK6507-AK6667_HMGJWDSXY_L4	171988185	25.8	0.446	0.155	54.46	5.87	0.52	2.6	Andropogoneae	Sorghastrum;Saccharum;Tripidium;Themeda	nutans;arundinaceum;ravennae;hildebrandtii;villosa	NC_030498(169);NC_030777(169);NC_042735(164);NC_036118(140);NC_035021(137)	5072	199	318	3
AT20TS1MCRTL006	Heteropogon triticeus		E.J. Thompson HUG814 TBKS	1	MCRTL006_CKDL200164854-1a-AK6503-AK6657_HMGJWDSXY_L4	277472143	41.6	0.454	0.164	57.02	4.87	0.47	1.7	Andropogoneae	Heteropogon	triticeus	NC_035025(325)	3662	839	1087	4
AT20TS1MCRTL018	Parahyparrhenia siamensis		Traiperm 583	1	MCRTL018_CKDL200164854-1a-AK6508-AK6668_HMGJWDSXY_L4	376485023	56.5	0.509	0.0	47.49	7.03	1.96	2.36	Andropogoneae	Parahyparrhenia	siamensis	NC_035033(482)	5295	76	219	2
AT20TS1MCRTL007	Rottboellia cochinchinensis		Layton and Zhong 158	1	MCRTL007_CKDL200164854-1a-AK6504-AK6658_HMGJWDSXY_L4	279882636	42.0	0.457	0.163	53.05	4.52	0.5	1.57	Andropogoneae	Rottboellia;Saccharum	cochinchinensis;arundinaceum	NC_030615(313);NC_030777(253)	5445	74	70	3
AT20TS1MCRTL008	Kerriochloa siamensis		Traiperm 581	1	MCRTL008_CKDL200164854-1a-AK6505-AK6659_HMGJWDSXY_L4	251770181	37.8	0.515	0.177	50.28	5.54	0.44	1.9	Andropogoneae	Kerriochloa	siamensis	NC_035009(489)	4516	402	671	3
AT20TS1MCRTL019	Eremochloa ciliaris		Traiperm 524	1	MCRTL019_CKDL200164854-1a-AK6509-AK6669_HMGJWDSXY_L4	188686753	28.3	0.4	0.151	57.91	7.47	2.57	1.98	Andropogoneae	Eremochloa	ciliaris;eriopoda;ophiuroides	NC_035028(558);NC_035023(547);NC_036716(496)	2682	2640	268	2
AT20TS1MCRTL009	Tripsacum australe		Kellogg MIA 34499	1	MCRTL009_CKDL200164854-1a-AK6506-AK6660_HMGJWDSXY_L4	219431043	32.9	0.213	0.161	18.61	2.2	0.18	1.14	Andropogoneae	Zea;Saccharum	perennis;luxurians;diploperennis;arundinaceum;mays	NC_030300(334);NC_030301(319);NC_030377(312);NC_030777(311);NC_001666(306)	3373	1463	755	1
