assemblyID	tracker_sample_name	correctSpecies	CorrectEcotype	lifeHistory	technology	source	complete	duplicated	fraged	missing	clade	subfamily	tribe	subtribe	wrongSample	lowTABASCO	CHList	QCshortread	dupSample	rhizome_PAV	pacbio	compdup
10wheat_assembly_jagger		Triticum aestivum	Jagger	annual	Illumina HiSeq4000; HiSeq X Ten; Illumina HiSeq2500	NCBI	102	5139	203	148	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5241
10wheat_assembly_lancer		Triticum aestivum	LongReach Lancer	annual	Illumina HiSeq4000; HiSeq X Ten; Illumina HiSeq2500	NCBI	100	5149	196	147	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5249
10wheat_assembly_stanley		Triticum aestivum	CDC Stanley	annual	Illumina HiSeq4000; HiSeq X Ten; Illumina HiSeq2500	NCBI	102	5138	201	151	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5240
A17		Hordeum bulbosum		perennial	Illumina Novaseq 6000; PacBio Sequel II	NCBI	22	5146	238	186	BOP	Pooideae	Triticeae	Hordeinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	TRUE	5168
A42		Hordeum bulbosum		perennial	Illumina Novaseq 6000; PacBio Sequel II	NCBI	34	5144	227	187	BOP	Pooideae	Triticeae	Hordeinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	TRUE	5178
Ab-Traiperm_572-DRAFT-PanAnd-1.0		Andropogon burmanicus	Traiperm_572	perennial	PacBio	PanAnd	42	5530	9	11	PACMAD	Panicoideae	Andropogoneae		TRUE	TRUE	TRUE	TRUE	TRUE	0	TRUE	5572
Ac-Pasquet1232-DRAFT-PanAnd-1.0		Andropogon chinensis	Pasquet1232	perennial	PacBio	PanAnd	33	5553	5	1	PACMAD	Panicoideae	Andropogoneae	Andropogoninae	TRUE	TRUE	TRUE	TRUE	TRUE	0	TRUE	5586
Adlay_draft_genome_1.0		Coix lacryma-jobi	ma-yuen_Johyun	annual	PacBio RSII	NCBI	5104	224	135	129	PACMAD	Panicoideae	Andropogoneae	Rottboelliinae	TRUE	TRUE	TRUE	TRUE	TRUE		TRUE	5328
Aegilops_cylindrica		Aegilops cylindrica	merged	annual	Illumina	SRA	2156	1439	1809	188	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	3595
aegilops_longissima_6782_assembly		Aegilops longissima		annual	Illumina HiSeq4000	NCBI	4034	1118	255	185	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5152
Aegilops_markgrafii		Aegilops markgrafii	merged	annual	Illumina	SRA	4015	611	769	197	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	4626
aegilops_sharonensis_1644_assembly		Aegilops sharonensis		annual	Illumina HiSeq4000	NCBI	4084	1077	251	180	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5161
aegilops_speltoides_cv_tivon		Aegilops speltoides	speltoides	annual	Illumina HiSeq4000	NCBI	3835	1288	295	174	BOP	Pooideae	Triticeae	Triticinae	TRUE	TRUE	TRUE	TRUE	TRUE	0	FALSE	5123
